scientific,family,PC1,nplants,nbirds,envidist,database
Anthornis melanura,Meliphagidae,-0.795440428,21,7,0.7335636478551595,Wyman 2017
Anthracoceros albirostris,Bucerotidae,-0.95565502,43,45,2.7290447368747923,dat_pakke_weight_network_bird_disp
Anthracoceros albirostris,Bucerotidae,-1.935436695,24,60,1.8373456714477048,M_SD_016
Anthracoceros albirostris,Bucerotidae,0.642487034,17,40,3.035471113443498,SankamethaweeEtAl'11
Anthracoceros albirostris,Bucerotidae,2.462984085,12,22,2.8466365258523645,PigotEtAl'16-Database S1_KITA
Anthracoceros albirostris,Bucerotidae,-2.336498951,6,28,2.624156778867343,PigotEtAl'16-Database S1_VELHO
Anthracoceros albirostris,Bucerotidae,2.998961752,6,22,2.6234246048291907,PigotEtAl'16-Database S1_VELHO2
Anthracoceros albirostris,Bucerotidae,2.462984085,15,22,2.8466365258523645,KITA mammals added
Anthracoceros albirostris,Bucerotidae,-3.520849456,6,26,2.6506611697851006,Sethi 2012
Atlapetes citrinellus,Passerellidae,0.522033266,29,27,1.1910808491184155,Messeder_et_al._2020_-_Interaction_dataset_NW 038 F
Atlapetes citrinellus,Passerellidae,0.671843648,15,16,0.7653700691499816,Ruggera 2016 La Florida
Atlapetes citrinellus,Passerellidae,-1.868459979,18,21,0.2024008187992151,Ruggera 2016 Los Chorizos
Atlapetes citrinellus,Passerellidae,-2.910361199,6,15,0.03519966301415597,Ruggera 2016 Quebrada del Port
Atlapetes citrinellus,Passerellidae,-2.151050197,11,15,0.20926394912248095,Ruggera 2016 Pozo Verde
Atlapetes citrinellus,Passerellidae,0.828803608,16,17,0.2872986322659158,Ruggera 2016 EcoPortal
Arremon flavirostris,Passerellidae,1.372473417,13,64,1.3559632115696605,Messeder_et_al._2020_-_Interaction_dataset_NW 025 F
Arremon flavirostris,Passerellidae,-0.529510512,29,27,0.5568759729413201,Messeder_et_al._2020_-_Interaction_dataset_NW 038 F
Arremon flavirostris,Passerellidae,-1.84855626,55,36,0.36768878847903447,VidalEtAl'19-interaction_matrices_middle_slope_matrix
Arremon flavirostris,Passerellidae,-1.662181525,127,64,0.36768878847903447,VidalEtAl'19-interaction_matrices_combined_matrix
Arremon flavirostris,Passerellidae,-1.012087449,22,17,1.207082425972067,Blendinger 2015
Arremon flavirostris,Passerellidae,-1.057845361,15,16,0.8943976983142863,Ruggera 2016 La Florida
Arremon flavirostris,Passerellidae,-1.216197576,16,13,1.8882984864736845,Ruggera 2016 San Javier
Arremon flavirostris,Passerellidae,-0.713700131,21,22,1.573584415734529,Ruggera 2016 Chorro de Loros
Antilophia galeata,Pipridae,-1.495997435,23,28,0.3848567200392308,n12_fe25_quanti
Antilophia galeata,Pipridae,-1.653336106,31,43,0.7024582389788391,Messeder_et_al._2020_-_Interaction_dataset_NW 013 F
Antilophia galeata,Pipridae,-3.277698295,13,64,0.30177596854816524,Messeder_et_al._2020_-_Interaction_dataset_NW 025 F
Antilophia galeata,Pipridae,-1.9938813,32,31,0.3144820938649972,Messeder_et_al._2020_-_Interaction_dataset_NW 032 F
Antilophia galeata,Pipridae,-1.038451316,3,16,0.24212406195522743,Silva et al_Appendix1
Antilophia galeata,Pipridae,-2.9322041,4,14,0.6264828686269912,Silva et al_Appendix2
Aulacorhynchus prasinus,Ramphastidae,2.589436236,60,72,1.975688623903554,btp12290-sup-0001-appendixs1
Aulacorhynchus prasinus,Ramphastidae,6.132333937,169,40,0.5825002516020923,M_SD_019
Aulacorhynchus prasinus,Ramphastidae,2.625513314,21,53,2.20046071862364,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Aulacorhynchus prasinus,Ramphastidae,-1.310990191,22,19,0.570221699095084,Wilms 2006
Bombycilla cedrorum,Bombycillidae,1.394536568,7,21,0.9838187911804792,M_SD_001
Bombycilla cedrorum,Bombycillidae,3.484858217,22,14,1.0572342783793065,Powdermill_(Pennsylvania_USA)
Bombycilla cedrorum,Bombycillidae,4.335460895,82,64,1.2396895592707848,Sandor
Bombycilla cedrorum,Bombycillidae,-0.102502956,27,42,1.2357146909959833,Messeder_et_al._2020_-_Interaction_dataset_NW 029 F
Bombycilla cedrorum,Bombycillidae,-0.508636765,26,44,1.3711501430805968,Messeder_et_al._2020_-_Interaction_dataset_NW 034 F
Bombycilla cedrorum,Bombycillidae,-0.445242631,31,50,1.6986967586448536,Ortiz-Pulido 2000
Bombycilla cedrorum,Bombycillidae,-0.301786956,30,22,1.005413205281391,Skeate 1985
Baryphthengus ruficapillus,Momotidae,-3.834271026,30,57,0.4977272441389546,n2_Botelho
Baryphthengus ruficapillus,Momotidae,0.328124973,13,64,2.2887763143272304,Messeder_et_al._2020_-_Interaction_dataset_NW 025 F
Baryphthengus ruficapillus,Momotidae,-0.982237348,60,72,2.1068506166211725,Messeder_et_al._2020_-_Interaction_dataset_NW 035 F
Baryphthengus ruficapillus,Momotidae,-1.257373949,71,45,0.7477507242878422,VidalEtAl'19-interaction_matrices_bottom_of_valley_matrix
Baryphthengus ruficapillus,Momotidae,-1.614177872,127,64,0.7477507242878422,VidalEtAl'19-interaction_matrices_combined_matrix
Buceros bicornis,Bucerotidae,-0.672143076,43,45,0.4133240328540822,dat_pakke_weight_network_bird_disp
Buceros bicornis,Bucerotidae,-0.285375979,12,22,2.5530402825379626,PigotEtAl'16-Database S1_KITA
Buceros bicornis,Bucerotidae,-0.149148445,6,28,1.0254767047162072,PigotEtAl'16-Database S1_VELHO
Buceros bicornis,Bucerotidae,-0.285375979,15,22,2.5530402825379626,KITA mammals added
Buceros bicornis,Bucerotidae,-3.520849456,6,26,0.5368902478124034,Sethi 2012
Bycanistes bucinator,Bucerotidae,0.39516031,120,15,1.209422019323253,PigotEtAl'16-Database S1_DOWS
Bycanistes bucinator,Bucerotidae,-1.13496534,9,19,0.24320935808093208,Chama 2013 net1
Bycanistes bucinator,Bucerotidae,-0.070755022,11,27,0.24320935808093208,Chama 2013 net2
Bycanistes bucinator,Bucerotidae,0.858081036,14,25,0.24320935808093208,Chama 2013 net3
Bycanistes bucinator,Bucerotidae,-0.141929118,12,30,0.24320935808093208,Chama 2013 net4
Bycanistes bucinator,Bucerotidae,0.950583086,13,31,0.24320935808093208,Chama 2013 net5
Bycanistes bucinator,Bucerotidae,-0.998595968,11,24,0.24320935808093208,Chama 2013 net8
Bycanistes bucinator,Bucerotidae,-1.205236315,11,18,0.24320935808093208,Chama 2013 net9
Cacicus chrysopterus,Icteridae,0.294673238,30,57,0.6677908785169526,n2_Botelho
Cacicus chrysopterus,Icteridae,-1.766521709,13,21,1.984118108619718,n7_Kindel
Cacicus chrysopterus,Icteridae,-1.970839769,54,42,0.3510123378210761,VidalEtAl'19-interaction_matrices_hilltop_matrix
Cacicus chrysopterus,Icteridae,-1.941565967,127,64,0.3510123378210761,VidalEtAl'19-interaction_matrices_combined_matrix
Cacicus chrysopterus,Icteridae,0.151394384,42,44,2.435779156464751,Fontanari 2018
Cacicus chrysopterus,Icteridae,-0.685709108,16,17,1.810000360745469,Ruggera 2016 EcoPortal
Cacicus haemorrhous,Icteridae,0.718878235,90,67,0.6176954218711163,MachadoSouzaEtAl'19-SupMat
Cacicus haemorrhous,Icteridae,2.264237274,13,45,1.9094830323019465,n4_Correia_PcAntas
Cacicus haemorrhous,Icteridae,1.864959559,60,72,2.3405916497619064,Messeder_et_al._2020_-_Interaction_dataset_NW 035 F
Cacicus haemorrhous,Icteridae,1.459008585,71,45,1.024166722565064,VidalEtAl'19-interaction_matrices_bottom_of_valley_matrix
Cacicus haemorrhous,Icteridae,-2.282396545,54,42,1.024166722565064,VidalEtAl'19-interaction_matrices_hilltop_matrix
Cacicus haemorrhous,Icteridae,0.642663179,127,64,1.024166722565064,VidalEtAl'19-interaction_matrices_combined_matrix
Cacicus haemorrhous,Icteridae,-3.270446158,13,43,1.2717815787414366,de Oliveira 1999
Cacicus haemorrhous,Icteridae,0.076899264,42,44,1.8270645790904767,Fontanari 2018
Camptostoma obsoletum,Tyrannidae,-2.614698095,24,75,1.2162035734386842,Morro_Calzada_(Moyobamba_Peru)
Camptostoma obsoletum,Tyrannidae,-0.387019791,6,27,0.4905663981073846,n15_vivian_quanti
Camptostoma obsoletum,Tyrannidae,1.440425382,30,57,0.907586314473691,n2_Botelho
Camptostoma obsoletum,Tyrannidae,-0.780489467,19,26,0.6301017472499882,Rio_Claro_(Sao_Paulo_Brasil)
Camptostoma obsoletum,Tyrannidae,-0.399623078,31,43,1.4419625999013004,Messeder_et_al._2020_-_Interaction_dataset_NW 013 F
Camptostoma obsoletum,Tyrannidae,-0.63882855,17,13,1.2039229716004578,Messeder_et_al._2020_-_Interaction_dataset_NW 020 NF
Camptostoma obsoletum,Tyrannidae,-2.061867754,13,34,1.7065812026509457,Messeder_et_al._2020_-_Interaction_dataset_NW 036 F
Camptostoma obsoletum,Tyrannidae,0.547626705,13,43,0.5420456804742476,de Oliveira 1999
Catharus minimus,Turdidae,-0.39831415,4,19,2.376537816987651,M_SD_032
Catharus minimus,Turdidae,0.257756887,13,11,2.376537816987651,M_SD_033
Catharus minimus,Turdidae,-2.47602298,32,39,1.7572607238783489,MontoyaArango'19-supmat_Network
Catharus minimus,Turdidae,0.742942823,99,20,3.504870980829813,Messeder_et_al._2020_-_Interaction_dataset_NW 021 F
Catharus minimus,Turdidae,-0.39831415,4,19,4.4195307147209215,PigotEtAl'16-Database S1_POULI
Catharus minimus,Turdidae,0.257756887,13,11,4.4195307147209215,PigotEtAl'16-Database S1_POULI2
Catharus minimus,Turdidae,0.257756887,13,11,2.3681454620418636,Vizentin-Bugoni_etal_Science_2019_HarvardDataverse_POUL99
Catharus minimus,Turdidae,2.301026516,5,6,0.7155791447663854,Malmborg 1988 1980
Catharus minimus,Turdidae,0.197893303,6,11,0.7155791447663854,Malmborg 1988 1981
Catharus minimus,Turdidae,0.494415011,30,22,0.4737087772876718,Skeate 1985
Catharus minimus,Turdidae,-1.911628679,6,15,4.077082077187854,Wolfe 2014
Catharus guttatus,Turdidae,-0.800565137,7,21,1.2410721109650131,M_SD_001
Catharus guttatus,Turdidae,2.127515184,82,64,1.0149550137555672,Sandor
Catharus guttatus,Turdidae,-1.818343431,5,6,0.4652754907085058,Malmborg 1988 1980
Catharus guttatus,Turdidae,-0.198191794,6,11,0.4652754907085058,Malmborg 1988 1981
Catharus guttatus,Turdidae,-3.232510755,30,22,1.071582062103472,Skeate 1985
Catharus fuscescens,Turdidae,-1.50621559,4,19,2.84181172624507,M_SD_032
Catharus fuscescens,Turdidae,-0.470253967,13,11,2.84181172624507,M_SD_033
Catharus fuscescens,Turdidae,-1.381690941,22,14,0.5484547887597149,Powdermill_(Pennsylvania_USA)
Catharus fuscescens,Turdidae,-0.804213194,99,20,3.9191701331049353,Messeder_et_al._2020_-_Interaction_dataset_NW 021 F
Catharus fuscescens,Turdidae,0.146367951,13,64,2.351883356923793,Messeder_et_al._2020_-_Interaction_dataset_NW 025 F
Catharus fuscescens,Turdidae,-1.50621559,4,19,4.756552658595546,PigotEtAl'16-Database S1_POULI
Catharus fuscescens,Turdidae,-0.470253967,13,11,4.756552658595546,PigotEtAl'16-Database S1_POULI2
Catharus fuscescens,Turdidae,-0.470253967,13,11,2.8404732325161097,Vizentin-Bugoni_etal_Science_2019_HarvardDataverse_POUL99
Catharus fuscescens,Turdidae,-0.897543974,6,11,0.4228011907662787,Malmborg 1988 1981
Catharus fuscescens,Turdidae,-0.617175751,30,22,1.0026894137368154,Skeate 1985
Catharus fuscescens,Turdidae,-1.286801278,6,15,4.488432937248538,Wolfe 2014
Catharus ustulatus,Turdidae,-0.3344969,60,72,1.3063997643523588,btp12290-sup-0001-appendixs1
Catharus ustulatus,Turdidae,-0.28949568,20,36,0.69353678144311,InteractionNetwork_1000Fragmented
Catharus ustulatus,Turdidae,-0.13527231,26,36,0.69353678144311,InteractionNetwork_1000Natural
Catharus ustulatus,Turdidae,-0.913109586,19,15,0.69353678144311,InteractionNetwork_2000Fragmented
Catharus ustulatus,Turdidae,1.483819266,12,15,0.69353678144311,InteractionNetwork_2000Natural
Catharus ustulatus,Turdidae,1.769268243,13,31,2.149762890066023,Kessler- Rios 2011
Catharus ustulatus,Turdidae,-0.010204927,169,40,2.8480068658316413,M_SD_019
Catharus ustulatus,Turdidae,2.115849621,4,19,2.350649601671796,M_SD_032
Catharus ustulatus,Turdidae,-1.868924094,13,11,2.350649601671796,M_SD_033
Catharus ustulatus,Turdidae,1.672202652,21,53,1.1316322495467834,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Catharus ustulatus,Turdidae,2.293906624,32,39,2.096792717616428,MontoyaArango'19-supmat_Network
Catharus ustulatus,Turdidae,-1.083889919,42,7,3.278506042697322,Messeder_et_al._2020_-_Interaction_dataset_NW 016 F
Catharus ustulatus,Turdidae,4.386846583,99,20,4.00385065151846,Messeder_et_al._2020_-_Interaction_dataset_NW 021 F
Catharus ustulatus,Turdidae,1.07596544,60,72,1.5347111377448694,Messeder_et_al._2020_-_Interaction_dataset_NW 035 F
Catharus ustulatus,Turdidae,0.319650885,29,27,1.028455394523718,Messeder_et_al._2020_-_Interaction_dataset_NW 038 F
Catharus ustulatus,Turdidae,-1.053231608,6,6,3.278506042697322,PigotEtAl'16-Database S1_GORCH2
Catharus ustulatus,Turdidae,2.115849621,4,19,4.9089750526661735,PigotEtAl'16-Database S1_POULI
Catharus ustulatus,Turdidae,-1.868924094,13,11,4.9089750526661735,PigotEtAl'16-Database S1_POULI2
Catharus ustulatus,Turdidae,-1.868924094,13,11,2.3611335450176267,Vizentin-Bugoni_etal_Science_2019_HarvardDataverse_POUL99
Catharus ustulatus,Turdidae,0.450749025,40,42,1.0533959924117446,Vizentin-Bugoni_etal_Science_2019_HarvardDataverse_SAAV14
Catharus ustulatus,Turdidae,1.9136489,22,17,1.2387833347527395,Blendinger 2015
Catharus ustulatus,Turdidae,1.068523427,22,51,0.5072405831230442,Dehling 2017 San Pedro 1
Catharus ustulatus,Turdidae,-1.711835702,12,31,2.149762890066023,Kessler-Rios 2012
Catharus ustulatus,Turdidae,1.460713565,5,6,0.3714434507605914,Malmborg 1988 1980
Catharus ustulatus,Turdidae,2.284979662,6,11,0.3714434507605914,Malmborg 1988 1981
Catharus ustulatus,Turdidae,-1.692555763,25,42,1.5347111377448694,Ramos-Robles 2018
Catharus ustulatus,Turdidae,-1.216197576,16,13,1.484930264844392,Ruggera 2016 San Javier
Catharus ustulatus,Turdidae,1.157745891,18,21,1.235563325260471,Ruggera 2016 Los Chorizos
Catharus ustulatus,Turdidae,1.259247015,21,22,1.381495289555566,Ruggera 2016 Chorro de Loros
Catharus ustulatus,Turdidae,1.646853602,11,15,1.381495289555566,Ruggera 2016 Pozo Verde
Catharus ustulatus,Turdidae,2.841380458,18,20,1.3465404645343344,Ruggera 2016 A. Tres Cruces
Catharus ustulatus,Turdidae,-1.460515476,20,15,1.5575031009417786,Ruggera 2016 Sevenguillar
Catharus ustulatus,Turdidae,2.254940286,13,17,1.3244826033618322,Ruggera 2016 El Noglar
Catharus ustulatus,Turdidae,0.204697774,30,22,0.8887391527247169,Skeate 1985
Catharus ustulatus,Turdidae,1.620851074,8,83,3.323208690572224,Skutch 1980
Catharus ustulatus,Turdidae,-2.436210602,23,21,0.9156821468827214,Zamora-Delgado 2008
Celeus flavescens,Picidae,-1.042190901,90,67,0.9624421101577656,MachadoSouzaEtAl'19-SupMat
Celeus flavescens,Picidae,-0.881009481,25,21,1.022129249472831,n14_Hasui
Celeus flavescens,Picidae,-0.209472292,30,57,0.24936601916844991,n2_Botelho
Celeus flavescens,Picidae,-0.460375116,13,45,1.2585311557172882,n4_Correia_PcAntas
Celeus flavescens,Picidae,-1.178500854,31,43,2.103009602689187,Messeder_et_al._2020_-_Interaction_dataset_NW 013 F
Celeus flavescens,Picidae,-0.674544456,25,27,1.368308136080255,Messeder_et_al._2020_-_Interaction_dataset_NW 018 F
Celeus flavescens,Picidae,-0.859979288,71,45,0.32671821259880707,VidalEtAl'19-interaction_matrices_bottom_of_valley_matrix
Celeus flavescens,Picidae,-1.130702232,127,64,0.32671821259880707,VidalEtAl'19-interaction_matrices_combined_matrix
Celeus flavescens,Picidae,1.697586908,13,43,0.6915445225953842,de Oliveira 1999
Celeus flavescens,Picidae,-0.095167201,15,34,0.8466484546730813,Fonseca 2007
Celeus flavescens,Picidae,-1.561771837,3,17,0.8466484546730813,Ikuta 2013
Chlorochrysa calliparaea,Thraupidae,-3.232539586,20,36,2.834240056737859,InteractionNetwork_1000Fragmented
Chlorochrysa calliparaea,Thraupidae,1.550047128,26,36,2.834240056737859,InteractionNetwork_1000Natural
Chlorochrysa calliparaea,Thraupidae,1.609771494,22,51,2.6708474822229427,Dehling 2017 San Pedro 1
Chlorochrysa calliparaea,Thraupidae,2.112486196,17,45,2.6708474822229427,Dehling 2017 San Pedro 2
Chlorochrysa calliparaea,Thraupidae,2.341463984,19,35,2.6708474822229427,Dehling 2017 San Pedro 3
Chlorochrysa calliparaea,Thraupidae,-3.258437313,20,30,2.6708474822229427,Dehling 2017 San Pedro 4
Chiroxiphia pareola,Pipridae,-2.107011056,13,19,0.2446983037472296,Lefevre
Chiroxiphia pareola,Pipridae,-2.152717025,28,8,1.7533370458425332,Messeder_et_al._2020_-_Interaction_dataset_NW 001 F
Chiroxiphia pareola,Pipridae,-2.152717025,28,8,1.7533370458425332,PigotEtAl'16-Database S1_SARM
Chiroxiphia pareola,Pipridae,-0.200113989,12,11,1.6639541204251975,Souza Gomes 2008 primary forest
Chiroxiphia pareola,Pipridae,-2.036446425,13,15,1.6639541204251975,Souza Gomes 2008 secondary fore
Chiroxiphia caudata,Pipridae,-3.548458395,7,18,1.176351692711562,M_SD_009
Chiroxiphia caudata,Pipridae,-3.912683854,35,29,1.176351692711562,M_SD_012
Chiroxiphia caudata,Pipridae,4.251166851,90,67,0.9085700032109044,MachadoSouzaEtAl'19-SupMat
Chiroxiphia caudata,Pipridae,0.255496565,30,57,0.1830972615364247,n2_Botelho
Chiroxiphia caudata,Pipridae,-1.446132593,13,30,1.3874579138753491,n5_Kaiser_original
Chiroxiphia caudata,Pipridae,-3.912683854,35,29,1.176351692711562,n8_Galetti_Pizo
Chiroxiphia caudata,Pipridae,3.380479206,25,27,1.3693193601888023,Messeder_et_al._2020_-_Interaction_dataset_NW 018 F
Chiroxiphia caudata,Pipridae,-3.516290997,14,14,1.4384950114188304,Messeder_et_al._2020_-_Interaction_dataset_NW 023 F
Chiroxiphia caudata,Pipridae,-2.825519074,20,11,1.4980968955934189,Messeder_et_al._2020_-_Interaction_dataset_NW 024 F
Chiroxiphia caudata,Pipridae,2.642943784,71,45,0.3751013615338038,VidalEtAl'19-interaction_matrices_bottom_of_valley_matrix
Chiroxiphia caudata,Pipridae,3.601083083,55,36,0.3751013615338038,VidalEtAl'19-interaction_matrices_middle_slope_matrix
Chiroxiphia caudata,Pipridae,1.416251554,54,42,0.3751013615338038,VidalEtAl'19-interaction_matrices_hilltop_matrix
Chiroxiphia caudata,Pipridae,4.237182631,127,64,0.3751013615338038,VidalEtAl'19-interaction_matrices_combined_matrix
Chiroxiphia caudata,Pipridae,-1.579928564,15,34,0.8575757115311539,Fonseca 2007
Chiroxiphia caudata,Pipridae,2.332428479,42,44,2.4860651161024445,Fontanari 2018
Chiroxiphia caudata,Pipridae,0.17668593,3,17,0.8575757115311539,Ikuta 2013
Chlorophanes spiza,Thraupidae,0.723390746,60,72,1.487949995299811,btp12290-sup-0001-appendixs1
Chlorophanes spiza,Thraupidae,0.938790039,20,36,2.541245641896218,InteractionNetwork_1000Fragmented
Chlorophanes spiza,Thraupidae,0.077699859,26,36,2.541245641896218,InteractionNetwork_1000Natural
Chlorophanes spiza,Thraupidae,-0.155175307,90,67,0.4796316499142419,MachadoSouzaEtAl'19-SupMat
Chlorophanes spiza,Thraupidae,0.296703746,24,75,1.7249471272693655,Morro_Calzada_(Moyobamba_Peru)
Chlorophanes spiza,Thraupidae,-0.814785524,60,72,2.6487843233618493,Messeder_et_al._2020_-_Interaction_dataset_NW 035 F
Chlorophanes spiza,Thraupidae,2.545871006,8,83,1.9422351546145336,Skutch 1980
Chlorophonia cyanea,Fringillidae,-0.005291233,60,72,0.3729212156372768,btp12290-sup-0001-appendixs1
Chlorophonia cyanea,Fringillidae,-2.140227435,13,31,0.75121101253595,Kessler- Rios 2011
Chlorophonia cyanea,Fringillidae,-1.269224399,90,67,0.7058222595442813,MachadoSouzaEtAl'19-SupMat
Chlorophonia cyanea,Fringillidae,-0.384821214,24,75,0.6503780022315937,Morro_Calzada_(Moyobamba_Peru)
Chlorophonia cyanea,Fringillidae,-1.495879028,21,53,1.13131160700165,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Chlorophonia cyanea,Fringillidae,2.770412542,13,21,1.5881630240891669,n7_Kindel
Chlorophonia cyanea,Fringillidae,-0.349466143,35,30,1.710041350037502,Oxapampa_Peru_(CDS)
Chlorophonia cyanea,Fringillidae,-0.309520935,40,42,1.8799605010771492,Vizentin-Bugoni_etal_Science_2019_HarvardDataverse_SAAV14
Chlorophonia cyanea,Fringillidae,0.318413069,22,51,1.3991197475268156,Dehling 2017 San Pedro 1
Chlorophonia cyanea,Fringillidae,0.581607329,17,45,1.3991197475268156,Dehling 2017 San Pedro 2
Chlorophonia cyanea,Fringillidae,-0.714695083,19,35,1.3991197475268156,Dehling 2017 San Pedro 3
Chlorophonia cyanea,Fringillidae,0.557141802,20,30,1.3991197475268156,Dehling 2017 San Pedro 4
Chlorophonia cyanea,Fringillidae,-2.030941786,42,44,2.1066992042436095,Fontanari 2018
Chlorophonia cyanea,Fringillidae,0.17668593,3,17,1.245984491745277,Ikuta 2013
Chlorophonia cyanea,Fringillidae,2.099126974,12,31,0.75121101253595,Kessler-Rios 2012
Chlorospingus canigularis,Passerellidae,0.445811574,60,72,0.6484453492297604,btp12290-sup-0001-appendixs1
Chlorospingus canigularis,Passerellidae,0.286909075,20,36,1.8907901367359037,InteractionNetwork_1000Fragmented
Chlorospingus canigularis,Passerellidae,0.458187553,26,36,1.8907901367359037,InteractionNetwork_1000Natural
Chlorospingus canigularis,Passerellidae,1.733111846,13,31,0.36627746842293873,Kessler- Rios 2011
Chlorospingus canigularis,Passerellidae,1.529870604,21,53,1.2909755661714135,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Chlorospingus canigularis,Passerellidae,-1.692451985,12,31,0.36627746842293873,Kessler-Rios 2012
Chlorornis riefferii,Thraupidae,1.495195634,10,4,1.721247118798053,InteractionNetwork_3000Fragmented
Chlorornis riefferii,Thraupidae,-1.83897796,21,53,1.0070616645846673,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Chlorornis riefferii,Thraupidae,1.268116543,19,20,2.793165563771264,Dehling 2017 Wayqecha 1
Chlorornis riefferii,Thraupidae,2.204111591,22,17,2.793165563771264,Dehling 2017 Wayqecha 2
Chlorornis riefferii,Thraupidae,0.578526545,21,16,2.793165563771264,Dehling 2017 Wayqecha 3
Chlorornis riefferii,Thraupidae,3.339336875,18,19,2.793165563771264,Dehling 2017 Wayqecha 4
Chloropsis aurifrons,Chloropseidae,-0.465061037,43,45,2.7964079273178313,dat_pakke_weight_network_bird_disp
Chloropsis aurifrons,Chloropseidae,3.402386931,6,28,3.421935530212943,PigotEtAl'16-Database S1_VELHO
Chloropsis aurifrons,Chloropseidae,0.301264871,7,21,3.612100171628595,Chatterjee 2014
